date,new_cases,new_deaths,new_tests,total_cases,total_deaths,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-07-25,252.0,5.0,28059.0,245590.0,35097.0,3897818.0,4159.900342616296,594.4868371057622,66022.77956617113
2020-07-26,274.0,5.0,25177.0,245864.0,35102.0,3922995.0,4164.54146275098,594.5715290790229,66449.23752832777
2020-07-27,254.0,5.0,19374.0,246118.0,35107.0,3942369.0,4168.8438149926205,594.6562210522835,66777.40198631812
2020-07-28,168.0,5.0,25341.0,246286.0,35112.0,3967710.0,4171.689465294178,594.7409130255442,67206.6378451977
2020-07-29,202.0,11.0,30875.0,246488.0,35123.0,3998585.0,4175.111021013908,594.9272353667176,67729.61078008218
2020-07-30,288.0,6.0,33396.0,246776.0,35129.0,4031981.0,4179.989278673721,595.0288657346304,68295.28540788467
2020-07-31,382.0,3.0,29686.0,247158.0,35132.0,4061667.0,4186.459745430834,595.0796809185867,68798.11859152776
2020-08-01,379.0,9.0,31905.0,247537.0,35141.0,4093572.0,4192.879397003991,595.2321264704559,69338.53807290393
2020-08-02,295.0,5.0,24496.0,247832.0,35146.0,4118068.0,4197.876223426369,595.3168184437166,69753.46098830248
2020-08-03,238.0,8.0,13467.0,248070.0,35154.0,4131535.0,4201.907561353575,595.4523256009336,69981.5703490827
2020-08-04,159.0,12.0,23491.0,248229.0,35166.0,4155026.0,4204.600766103264,595.6555863367591,70379.47017785585
2020-08-05,190.0,5.0,29739.0,248419.0,35171.0,4184765.0,4207.819061087169,595.7402783100198,70883.2010964155
2020-08-06,384.0,10.0,32169.0,248803.0,35181.0,4216934.0,4214.323404633586,595.9096622565411,71428.09231397984
2020-08-07,401.0,6.0,30392.0,249204.0,35187.0,4247326.0,4221.11570088909,596.0112926244539,71942.88400424733
2020-08-08,552.0,3.0,26631.0,249756.0,35190.0,4273957.0,4230.465694737065,596.0621078084102,72393.97039222818
2020-08-09,347.0,13.0,22773.0,250103.0,35203.0,4296730.0,4236.343317681353,596.2823069388879,72779.7084536411
2020-08-10,463.0,2.0,10904.0,250566.0,35205.0,4307634.0,4244.185794405289,596.3161837281922,72964.40470892792
2020-08-11,259.0,4.0,22063.0,250825.0,35209.0,4329697.0,4248.57283862019,596.3839373068007,73338.11651013783
2020-08-12,412.0,6.0,27330.0,251237.0,35215.0,4357027.0,4255.551457216868,596.4855676747135,73801.04283598051
2020-08-13,476.0,10.0,25629.0,251713.0,35225.0,4382656.0,4263.614133071281,596.6549516212348,74235.15695251992
2020-08-14,522.0,6.0,24868.0,252235.0,35231.0,4407524.0,4272.455975079692,596.7565819891475,74656.38095072906
2020-08-15,574.0,3.0,25937.0,252809.0,35234.0,4433461.0,4282.178613610014,596.8073971731039,75095.71209282131
2020-08-16,629.0,158.0,22470.0,253438.0,35392.0,4455931.0,4292.832863846203,599.4836635281403,75476.31782065466
2020-08-17,477.0,4.0,21379.0,253915.0,35396.0,4477310.0,4300.912478095268,599.5514171067488,75838.4437599225
2020-08-18,320.0,4.0,32687.0,254235.0,35400.0,4509997.0,4306.332764383949,599.6191706853573,76392.10906591664
2020-08-19,401.0,5.0,41290.0,254636.0,35405.0,4551287.0,4313.125060639453,599.7038626586179,77091.49538110304
2020-08-20,642.0,7.0,49662.0,255278.0,35412.0,4600949.0,4323.99951000612,599.8224314211828,77932.68993631705
2020-08-21,840.0,6.0,44943.0,256118.0,35418.0,4645892.0,4338.227761513907,599.9240617890956,78693.95220716768
2020-08-22,947.0,9.0,46613.0,257065.0,35427.0,4692505.0,4354.268421249473,600.0765073409648,79483.50159708735
2020-08-23,1071.0,3.0,47463.0,258136.0,35430.0,4739968.0,4372.409441921904,600.1273225249212,80287.44862246134
2020-08-24,1209.0,7.0,33358.0,259345.0,35437.0,4773326.0,4392.887961056327,600.2458912874861,80852.47959126705
2020-08-25,953.0,4.0,45798.0,260298.0,35441.0,4819124.0,4409.030251159806,600.3136448660946,81628.22418954525
2020-08-26,876.0,4.0,58054.0,261174.0,35445.0,4877178.0,4423.8682848750705,600.3813984447031,82611.56575267992
2020-08-27,1366.0,13.0,57640.0,262540.0,35458.0,4934818.0,4447.006131969878,600.6015975751807,83587.89482042863
2020-08-28,1409.0,5.0,65135.0,263949.0,35463.0,4999953.0,4470.872330034727,600.6862895484413,84691.17715609503
2020-08-29,1460.0,9.0,64294.0,265409.0,35472.0,5064247.0,4495.602386226836,600.8387351003105,85780.214301859
2020-08-30,1444.0,1.0,53541.0,266853.0,35473.0,5117788.0,4520.06142810451,600.8556734949626,86687.11288992863
2020-08-31,1365.0,4.0,42583.0,268218.0,35477.0,5160371.0,4543.182336804665,600.9234270735711,87408.40054940022
2020-09-01,996.0,6.0,54395.0,269214.0,35483.0,5214766.0,4560.052977878186,601.0250574414839,88329.76452650277
2020-09-02,975.0,8.0,,270189.0,35491.0,,4576.567912664011,601.160564598701,
2020-09-03,1326.0,6.0,,271515.0,35497.0,,4599.028223972734,601.2621949666137,
